from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
7395,7395,0.0,800,53.86,30.0
7395,39,0.001,800,53.86,30.06
7401,37542,0.0,800,53.86,30.0
7401,36085,0.0,800,53.86,30.0
7406,7406,0.0,800,53.86,30.0
7406,11192,0.0,800,53.86,30.0
7413,7413,0.0,800,53.86,30.0
7413,17,0.0,800,53.86,30.0
7415,6744,0.089,800,53.86,35.95
7415,7152,0.091,800,53.86,36.11
7418,26444,0.02,800,53.86,31.31
7418,51609,0.153,800,53.86,40.22
7423,9062,0.0,800,53.86,30.0
7423,6899,0.019,800,53.86,31.29
7424,7424,0.0,800,53.86,30.0
7424,33882,0.0,800,53.86,30.0
7449,33665,0.0,800,53.86,30.0
7449,7239,0.005,800,53.86,30.35
7458,52874,0.013,800,53.86,30.87
7458,4387,0.013,800,53.86,30.87
7470,31488,0.001,800,53.86,30.08
7470,18749,0.232,800,53.86,45.53
7473,15934,0.0,800,53.86,30.0
7473,2481,0.031,800,53.86,32.06
7481,39990,0.069,800,53.86,34.64
7481,2780,0.086,800,53.86,35.78
7485,43030,0.0,800,53.86,30.0
7485,37939,0.001,800,53.86,30.09
7491,31383,0.026,800,53.86,31.77
7491,23416,0.089,800,53.86,35.95
7500,32791,0.001,800,53.86,30.04
7500,42594,0.077,800,53.86,35.17
7505,35650,0.017,800,53.86,31.13
7505,2412,0.018,800,53.86,31.21
7516,35937,0.0,800,53.86,30.0
7516,9469,0.019,800,53.86,31.24
7518,27751,0.0,800,53.86,30.0
7518,23388,0.0,800,53.86,30.0
7521,7521,0.0,800,53.86,30.0
7521,6381,0.0,800,53.86,30.0
7522,27248,0.0,800,53.86,30.0
7522,7522,0.0,800,53.86,30.0
7535,45064,0.0,800,53.86,30.0
7535,55897,0.0,800,53.86,30.02
7541,7541,0.0,800,53.86,30.0
7541,21580,0.006,800,53.86,30.4
7543,2308,0.004,800,53.86,30.28
7543,9053,0.007,800,53.86,30.48
7550,35499,0.008,800,53.86,30.54
7550,35221,0.017,800,53.86,31.15
7558,7558,0.0,800,53.86,30.0
7558,48123,0.021,800,53.86,31.38
7574,26085,0.003,800,53.86,30.22
7574,40488,0.011,800,53.86,30.71
7580,7580,0.0,800,53.86,30.0
7580,4549,0.0,800,53.86,30.0
7588,28941,0.0,800,53.86,30.0
7588,7588,0.0,800,53.86,30.0
7594,18587,0.0,800,53.86,30.0
7594,42582,0.0,800,53.86,30.0
7599,31730,0.046,800,53.86,33.1
7599,16036,0.087,800,53.86,35.84
7601,7601,0.0,800,53.86,30.0
7601,3576,0.062,800,53.86,34.12
7603,25922,0.0,800,53.86,30.0
7603,49907,0.091,800,53.86,36.05
7610,7610,0.0,800,53.86,30.0
7610,33034,0.0,800,53.86,30.0
7614,7614,0.0,800,53.86,30.0
7614,7634,0.0,800,53.86,30.0
7616,9334,0.0,800,53.86,30.0
7616,57808,0.013,800,53.86,30.9
7618,7618,0.0,800,53.86,30.0
7618,29550,0.0,800,53.86,30.0
7621,17291,0.011,800,53.86,30.76
7621,29724,0.015,800,53.86,30.98
7627,9460,0.0,800,53.86,30.0
7627,31726,0.0,800,53.86,30.0
7634,7614,0.0,800,53.86,30.0
7634,7634,0.0,800,53.86,30.0
7640,40610,0.003,800,53.86,30.17
7640,11978,0.01,800,53.86,30.65
7644,18777,0.0,800,53.86,30.0
7644,18894,0.013,800,53.86,30.89
7645,5566,0.0,800,53.86,30.0
7645,5911,0.0,800,53.86,30.0
7649,48121,0.0,800,53.86,30.0
7649,21947,0.017,800,53.86,31.13
7651,18158,0.032,800,53.86,32.15
7651,38378,0.041,800,53.86,32.71
7657,42190,0.0,800,53.86,30.0
7657,17676,0.0,800,53.86,30.0
7659,7659,0.0,800,53.86,30.0
7659,24003,0.0,800,53.86,30.02
7660,11999,0.022,800,53.86,31.45
7660,11462,0.207,800,53.86,43.82
7667,7667,0.0,800,53.86,30.0
7667,21349,0.012,800,53.86,30.81
7672,7672,0.0,800,53.86,30.0
7672,5260,0.0,800,53.86,30.03
7684,7684,0.0,800,53.86,30.0
7684,4975,0.0,800,53.86,30.0
7689,8917,0.0,800,53.86,30.0
7689,1074,0.034,800,53.86,32.3
7692,47292,0.0,800,53.86,30.0
7692,55521,0.0,800,53.86,30.0
7702,32437,0.019,800,53.86,31.25
7702,613,0.03,800,53.86,32.01
7708,3713,0.048,800,53.86,33.22
7708,53449,0.07,800,53.86,34.71
7711,37724,0.151,800,53.86,40.07
